Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	NumPathsThisBatch	NumPathsSoFar	TimestepsThisBatch	TimestepsSoFar
23.08059334754944	111	262.759525655	11.0146147269	277.283863471	222.488147895	20.0	0.0	51	5712	1020	114240
23.28173041343689	112	264.756207608	8.47968163612	278.538266048	244.800379249	20.0	0.0	51	5763	1020	115260
23.479865550994873	113	265.965922884	7.10982033162	275.613440256	242.237842123	20.0	0.0	51	5814	1020	116280
23.678000688552856	114	265.817165501	8.69648820754	283.2719203	239.913532912	20.0	0.0	51	5865	1020	117300
23.87513494491577	115	262.143367743	9.59660418393	277.933198777	237.10239946	20.0	0.0	51	5916	1020	118320
24.074270725250244	116	263.277416927	7.57333101918	277.736076757	247.691119316	20.0	0.0	51	5967	1020	119340
24.27240562438965	117	264.547878313	8.28473189336	279.274340225	239.88165192	20.0	0.0	51	6018	1020	120360
24.47054171562195	118	265.094007447	8.80571642978	280.14305558	241.440767346	20.0	0.0	51	6069	1020	121380
24.671677827835083	119	265.384170582	9.42530438523	280.536933723	232.371918696	20.0	0.0	51	6120	1020	122400
24.870814085006714	120	267.481070133	9.02308348106	282.896506587	237.594221487	20.0	0.0	51	6171	1020	123420
25.068949937820435	121	268.231474713	7.24443605734	280.996152997	248.88382505	20.0	0.0	51	6222	1020	124440
25.26808476448059	122	268.65712924	6.9555154176	282.859184554	252.313893251	20.0	0.0	51	6273	1020	125460
25.466230630874634	123	268.751013523	6.46700598575	281.494503562	255.146513558	20.0	0.0	51	6324	1020	126480
25.666367530822754	124	265.11272302	9.94477973776	277.590240146	230.211730183	20.0	0.0	51	6375	1020	127500
25.865503072738647	125	265.905066969	8.93197842816	278.252178809	242.530015031	20.0	0.0	51	6426	1020	128520
26.06363868713379	126	267.1910788	8.15685636069	280.44667044	246.351926798	20.0	0.0	51	6477	1020	129540
26.261773347854614	127	268.445380964	7.19182636618	278.771023185	241.895378578	20.0	0.0	51	6528	1020	130560
26.460909843444824	128	271.317900811	6.43257257937	281.980854152	255.797489014	20.0	0.0	51	6579	1020	131580
26.656042337417603	129	270.475156728	6.19098694362	281.704111214	252.23857507	20.0	0.0	51	6630	1020	132600
26.85117506980896	130	270.471001884	5.15035239711	284.738953325	258.336028644	20.0	0.0	51	6681	1020	133620
27.049323320388794	131	269.380134297	7.43463832635	286.074769222	253.116788384	20.0	0.0	51	6732	1020	134640
27.248459577560425	132	267.574277924	6.54249964664	280.73080495	249.382965908	20.0	0.0	51	6783	1020	135660
27.451597213745117	133	268.564868102	8.2942171529	280.966104549	246.169800653	20.0	0.0	51	6834	1020	136680
27.64673089981079	134	267.48526876	7.48391429364	281.580996342	247.429115846	20.0	0.0	51	6885	1020	137700
